16:18:25.622 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 32380 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:18:25.623 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:18:25.651 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:18:25.651 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:18:26.211 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:18:26.218 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:18:26.218 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:18:26.218 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:18:26.259 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:18:26.259 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 608 ms
16:18:26.472 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:18:26.479 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:18:26.489 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:18:26.495 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.157 seconds (JVM running for 1.728)
16:18:26.496 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] AAA
16:18:26.496 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
16:19:15.950 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:19:15.951 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16:19:15.952 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
16:52:20.350 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 43496 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:52:20.350 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:52:20.378 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:52:20.378 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:52:20.938 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:52:20.946 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:52:20.946 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:52:20.946 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:52:20.981 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:52:20.981 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 603 ms
16:52:21.183 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:52:21.192 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:52:21.204 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:52:21.212 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.151 seconds (JVM running for 1.722)
16:52:21.212 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] AAA
16:52:21.214 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
16:53:43.351 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 23364 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:53:43.351 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:53:43.378 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:53:43.378 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:53:43.937 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:53:43.943 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:53:43.943 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:53:43.944 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:53:43.980 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:53:43.980 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 601 ms
16:53:44.177 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:53:44.185 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:53:44.195 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:53:44.202 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.135 seconds (JVM running for 1.701)
16:53:44.202 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] BBB
16:53:44.202 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
16:58:19.645 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 36808 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:58:19.645 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:58:19.672 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:58:19.672 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:58:20.226 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:58:20.232 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:58:20.232 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:58:20.232 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:58:20.265 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:58:20.265 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 593 ms
16:58:20.473 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
